Datum;Quelle;Firma;Ansprechpartner;Email;Telefon;PLZ;Ort;Land;Region;Event_Typ;Status;Notiz
2026-07-01;https://www.original-reichenbacher.de/der-verein/kontakt/;Original Reichenbacher Blasmusik e.V.;;d.gruedl@original-reichenbacher.de;09268-6785;96358;Teuschnitz;DE;Bayern;Vereinsfest;kontaktiert 2026-07-01;Blasmusikverein Oberfranken
2026-07-01;https://ff-obertraubling.feuerwehren.bayern/impressum/;Freiwillige Feuerwehr Obertraubling e.V.;Christoph Berger;info@ff-obertraubling.de;09401-9138933;93083;Obertraubling;DE;Bayern;Vereinsfest;kontaktiert 2026-07-01;Feuerwehrverein, Feste/Termine
2026-07-01;https://kerb-beerfurth.de/impressum;Kerwe Komitee Beerfurth e.V.;Eric Guthier;kerwe-komitee-beerfurth@t-online.de;;64385;Reichelsheim-Beerfurth;DE;Rheinland-Pfalz/Hessen;Vereinsfest;kontaktiert 2026-07-01;Kerwe/Kerb-Verein Odenwald
2026-07-01;https://www.kerbverein.de/kontakt-impressum/;Kerbverein Groß-Bieberau e.V.;Mirco Wiesner;arnold-engeland@web.de;06162-85589;64401;Groß-Bieberau;DE;Rheinland-Pfalz/Hessen;Vereinsfest;kontaktiert 2026-07-01;Kerbverein, Kontaktmail aus Impressum
2026-07-01;https://www.kerbegesellschaft-baerstadt.de/;Kerbegesellschaft Bärstadt e.V.;;info@kerbegesellschaft-baerstadt.de;;65388;Schlangenbad-Bärstadt;DE;Rheinland-Pfalz/Hessen;Vereinsfest;kontaktiert 2026-07-01;Kerb mit Partyband im Programm (Top-Lead)
2026-07-01;http://www.mkuntersee.at/impressum/;Musikkapelle Untersee;Klaus Webinger;obmann@mkuntersee.at;+43-664-8557682;4822;Bad Goisern;AT;Österreich;Zelt-Festbetreiber;kontaktiert 2026-07-01;Veranstalter Seer Zeltfest (3 Tage)
2026-07-01;https://dorfchilbi-illnau.ch/kontakt;Verein Dorfchilbi Illnau;Ueli Fürst;info@dorfchilbi-illnau.ch;;8308;Illnau;CH;Schweiz;Zelt-Festbetreiber;kontaktiert 2026-07-01;Dorfchilbi mit Festzelt
2026-07-01;https://www.mmk-badwaltersdorf.at/impressum/;Marktmusikkapelle Bad Waltersdorf;Markus Rath;mmk-badwaltersdorf@outlook.com;+43-664-2794514;8271;Bad Waltersdorf;AT;Österreich;Zelt-Festbetreiber;kontaktiert 2026-07-01;Veranstalter Dorffest/BMF im Festzelt
2026-07-02;https://www.mv-weingarten.de/impressum/;Musikverein Weingarten (Württemberg) e.V.;Alexander Kölle;akoelle@mv-weingarten.de;0751-3638911;88255;Weingarten;DE;Baden-Württemberg;Vereinsfest;kontaktiert 2026-07-02;MV Sommerfest, Kreis Ravensburg
2026-07-02;https://www.musikverein-weingarten.de/impressum/;Musikverein Weingarten (Baden) e.V.;Daniel Neuberth;organisation@musikverein-weingarten.de;07244-609708;76356;Weingarten (Baden);DE;Baden-Württemberg;Vereinsfest;kontaktiert 2026-07-02;Kraichgau, Organisations-Vorstand
2026-07-02;https://musikverein-schoenwald.de/impressum/;Musikverein Schönwald e.V.;Carmen Kaltenbach;vorstand@musikverein-schoenwald.de;07722-9299915;78141;Schönwald im Schwarzwald;DE;Baden-Württemberg;Vereinsfest;kontaktiert 2026-07-02;Sommerfest (verifiziert)
2026-07-02;https://musikverein-ehingen.de/impressum/;Musikverein Lyra Ehingen (Donau) e.V.;Michael Hafner;info@musikverein-ehingen.de;0179-4336446;89584;Ehingen (Donau);DE;Baden-Württemberg;Vereinsfest;kontaktiert 2026-07-02;Stadtmusikfest
2026-07-02;https://www.mv-bodelshausen.de/Impressum/;Musikverein Bodelshausen e.V.;Karl Schöntag;1.vorstand@mv-bodelshausen.de;;72411;Bodelshausen;DE;Baden-Württemberg;Vereinsfest;kontaktiert 2026-07-02;Kirbe/Feste, Kreis Tübingen (verifiziert)
2026-07-02;https://www.liederkranz-neresheim.de/impressum.html;Liederkranz 1836 Neresheim e.V.;Bernhard Didwißus;info@liederkranz-neresheim.de;07326-7934;73450;Neresheim;DE;Baden-Württemberg;Vereinsfest;kontaktiert 2026-07-02;Ostalbkreis, Feste
2026-07-02;http://mvug.de/Impressum/;Musikverein Untergriesheim e.V.;Wolfgang Seewald;mvu@mvug.de;;74177;Bad Friedrichshall;DE;Baden-Württemberg;Vereinsfest;kontaktiert 2026-07-02;Kreis Heilbronn, Vereinsfeste
2026-07-02;https://bruchsal-erleben.de/en/imprint/;Bruchsaler Tourismus, Marketing & Veranstaltungs GmbH (BTMV);;info@btmv.de;07251-505940;76646;Bruchsal;DE;Baden-Württemberg;Stadtfest-Kommune;kontaktiert 2026-07-02;Stadtfeste & Kultursommer
2026-07-02;https://www.heidenheim.de/contact;Stadtverwaltung Heidenheim an der Brenz;;rathaus@heidenheim.de;07321-3270;89522;Heidenheim an der Brenz;DE;Baden-Württemberg;Stadtfest-Kommune;kontaktiert 2026-07-02;Straßenfest/Küferfest
2026-07-02;https://citymarketing-sindelfingen.de/ueber-uns/kontakt/;City-Marketing Sindelfingen GmbH;;info@sindelfingen.org;07031-688420;71063;Sindelfingen;DE;Baden-Württemberg;Stadtfest-Kommune;kontaktiert 2026-07-02;Innenstadt-Veranstaltungen (verifiziert)
2026-07-02;https://www.musikverein-ebershausen.com/kontakt/;Musikverein Ebershausen e.V.;Thomas Reng;vorstand@musikverein-ebershausen.com;0152-37656953;86491;Ebershausen;DE;Bayern;Vereinsfest;kontaktiert 2026-07-02;Schwaben, Frühschoppen/Feste
2026-07-02;https://musikfest-oberostendorf.de/impressum/;Musikfest Oberostendorf (MV Oberostendorf e.V.);Daniel Seitz;festleitung@musikfest-oberostendorf.de;0160-96234577;86869;Oberostendorf;DE;Bayern;Vereinsfest;kontaktiert 2026-07-02;Musikfest mit Festzelt 2026 (verifiziert)
2026-07-02;https://www.musikverein-frensdorf.de/Impressum/;Musikverein Frensdorf und Umgebung e.V.;;info@musikverein-frensdorf.de;;96158;Frensdorf;DE;Bayern;Vereinsfest;kontaktiert 2026-07-02;Oberfranken
2026-07-02;https://www.kfv-landshut.de/kalender/termine;Kreisfeuerwehrverband Landshut e.V.;;info@kfv-landshut.de;;84079;Bruckberg;DE;Bayern;Vereinsfest;kontaktiert 2026-07-02;Niederbayern, Feuerwehr-Dachverband/Feste
2026-07-02;https://sportverein-kranzberg.de/impressum/;Sportverein Kranzberg e.V.;Anton Hierhager;info@sportverein-kranzberg.de;;85402;Kranzberg;DE;Bayern;Vereinsfest;kontaktiert 2026-07-02;Oberbayern, Feste/Christkindlmarkt
2026-07-02;https://www.hut-weilheim.de/rechtliches/impressum;Heimat- und Trachtenverein Weilheim i.OB e.V.;Josef Rohmer;vorstand@hut-weilheim.de;;82362;Weilheim in Oberbayern;DE;Bayern;Vereinsfest;kontaktiert 2026-07-02;Bachfest/Feste
2026-07-02;https://blaskapelle-uetzing.de/impressum/;Musikverein Uetzing-Serkendorf e.V.;Tino Bechmann;info@blaskapelle-uetzing.de;09573-239337;96231;Bad Staffelstein;DE;Bayern;Vereinsfest;kontaktiert 2026-07-02;Oberfranken, Feste
2026-07-02;https://www.musikvereinstangenroth.de/impressum/;Musikverein Stangenroth e.V.;Michaela Voll;vorstand@musikvereinstangenroth.de;0151-42433148;97705;Burkardroth-Stangenroth;DE;Bayern;Vereinsfest;kontaktiert 2026-07-02;Rhön, Lindenfest/Kirchweih
2026-07-02;https://www.schuetzengesellschaft-muenchberg.de/impressum/;Schützengesellschaft Münchberg e.V.;Oliver Schmidt;info@schuetzengesellschaft-muenchberg.de;09251-85284;95213;Münchberg;DE;Bayern;Vereinsfest;kontaktiert 2026-07-02;Oberfranken, Schützenverein mit Festen
2026-07-02;https://bvth.de/impressum/;Thalkirchner Burschen e.V.;Moritz Plewig;mail@bvth.de;0174-8840008;81379;München;DE;Bayern;Vereinsfest;kontaktiert 2026-07-02;Burschenverein München-Thalkirchen, Feste
2026-07-02;https://www.stadtmarketing-hersfeld.de/impressum/;Stadtmarketing Bad Hersfeld e.V.;;info@stadtmarketing-hersfeld.de;06621-8956828;36251;Bad Hersfeld;DE;Rheinland-Pfalz/Hessen;Stadtfest-Kommune;kontaktiert 2026-07-02;Stadtveranstaltungen, 200+ Mitglieder
2026-07-02;https://ssvl.de/;Sportschützenverein Lauterbach 1562 e.V.;;info@ssvl.de;06641-5412;36341;Lauterbach;DE;Rheinland-Pfalz/Hessen;Vereinsfest;kontaktiert 2026-07-02;Vogelsberg, Vereinsfeste
2026-07-02;https://musikfestival-rheinhessen.de/index.php?article_id=19;Freunde des Musikfestivals Rheinhessen e.V.;Claudia Henninger;info@musikfestival-rheinhessen.de;06357-8880551;67814;Dannenfels;DE;Rheinland-Pfalz/Hessen;Vereinsfest;kontaktiert 2026-07-02;Veranstalterverein Musikfestival Rheinhessen/Pfalz
2026-07-02;https://www.ahrweiler-winzerverein.de/en/imprint/;Ahrweiler Winzer-Verein e.G.;;info@ahrweiler-winzerverein.de;02641-34376;53474;Ahrweiler;DE;Rheinland-Pfalz/Hessen;Zelt-Festbetreiber;kontaktiert 2026-07-02;Winzerfest mit Live-Partybands
2026-07-02;https://weinsalon-rheinhessen.de/impressum/;Weinsalon Rheinhessen e.V.;Eric Fischborn;kontakt@weinsalon-rheinhessen.de;06131-620560;55130;Mainz;DE;Rheinland-Pfalz/Hessen;Vereinsfest;kontaktiert 2026-07-02;Wein-/Partyevents Rheinhessen
2026-07-02;https://www.kerbverein-arheilgen.de/impressum/;Kerbverein Darmstadt-Arheilgen e.V.;Timo Köcher;info@kerbverein-arheilgen.de;06151-2786317;64291;Darmstadt;DE;Rheinland-Pfalz/Hessen;Vereinsfest;kontaktiert 2026-07-02;Oarhelljer Kerb mit Live-Bühne (verifiziert)
2026-07-02;https://www.zeltfest-nnk.at/;Zeltfest NNK (Niederneukirchen);;office@zeltfest-nnk.at;;4491;Niederneukirchen;AT;Österreich;Zelt-Festbetreiber;kontaktiert 2026-07-02;40+ Jahre Zeltfest, OÖ
2026-07-02;https://unionkatsdorf.clubdesk.com/clubdesk/www?p=1000010;Sportunion Katsdorf;Johannes Naderer;johannes.naderer@gmx.at;07235-88475;4223;Katsdorf;AT;Österreich;Vereinsfest;kontaktiert 2026-07-02;Katsdorfer Zeltfest Pfingsten, OÖ
2026-07-02;https://dorffest-oberrohrdorf.ch/;Verein Dorffest Oberrohrdorf;;mitmachen@dorffest-oberrohrdorf.ch;;5452;Oberrohrdorf;CH;Schweiz;Vereinsfest;kontaktiert 2026-07-02;Dorf-/Jugendfest, Aargau
2026-07-02;https://bernerstadtfest.ch/;Verein BÄRNER STADTFESCHT;;info@bernerstadtfest.ch;;3011;Bern;CH;Schweiz;Stadtfest-Kommune;kontaktiert 2026-07-02;Berner Stadtfest
2026-07-03;https://www.mv-dewangen.de/impressum;Musikverein Dewangen 1925 e.V.;;info@mv-dewangen.de;;73434;Aalen;DE;Baden-Württemberg;Vereinsfest;kontaktiert 2026-07-03;MV Ostalb
2026-07-03;https://mv-adelmannsfelden.de/impressum;Musikverein Adelmannsfelden e.V.;;vorstand@mv-adelmannsfelden.de;07963 7609978;73486;Adelmannsfelden;DE;Baden-Württemberg;Vereinsfest;kontaktiert 2026-07-03;MV Ostalb
2026-07-03;https://www.mv-essingen.de/impressum;Musikverein Essingen e.V.;;info@mv-essingen.de;;73457;Essingen;DE;Baden-Württemberg;Vereinsfest;kontaktiert 2026-07-03;Musik trifft Wein
2026-07-03;https://www.mv-oberkochen.de/impressum;Musikverein Stadtkapelle Oberkochen e.V.;;info@mv-oberkochen.de;;73447;Oberkochen;DE;Baden-Württemberg;Vereinsfest;kontaktiert 2026-07-03;Stadtkapelle Ostalb
2026-07-03;https://www.musikverein-rosenberg.de/impressum;Musikverein Rosenberg e.V.;;vorstand@musikverein-rosenberg.de;;73494;Rosenberg;DE;Baden-Württemberg;Vereinsfest;kontaktiert 2026-07-03;MV Ostalb
2026-07-03;https://musikinitiativeweinsberg.de/impressum/;Musikinitiative Weinsberg e.V.;;info@musikinitiativeweinsberg.de;07134-510215;74189;Weinsberg;DE;Baden-Württemberg;Vereinsfest;kontaktiert 2026-07-03;Raum Heilbronn
2026-07-03;https://www2.staka-neuenstein.de/impressum/;Musikverein Stadtkapelle Neuenstein e.V.;;info@stadtkapelle-neuenstein.de;;74632;Neuenstein;DE;Baden-Württemberg;Vereinsfest;kontaktiert 2026-07-03;Hohenlohe
2026-07-03;https://www.musikverein-gueglingen.de/impressum;Musikverein Güglingen;;info@musikverein-gueglingen.de;;74363;Güglingen;DE;Baden-Württemberg;Vereinsfest;geantwortet 2026-07-03;"Kein eigenes Fest; Verweis auf Maienfest e.V. Güglingen (Luca Besemer, Vorsitzender ÖA)"
2026-07-03;https://www.mvgrombach.de/impressum;Musikverein Grombach e.V.;;info@mvgrombach.de;;74906;Bad Rappenau;DE;Baden-Württemberg;Vereinsfest;kontaktiert 2026-07-03;Kraichgau
2026-07-03;https://weinfest-breisach.de/impressum;Breisach Marketing GmbH;Carsten Müller;weinfest@breisach.de;07667 832350;79206;Breisach am Rhein;DE;Baden-Württemberg;Stadtfest-Kommune;kontaktiert 2026-07-03;Weinfest Breisach
2026-07-03;https://www.narrozunft.de/impressum/;Historische Narrozunft Villingen e.V.;Anselm Säger;anselm.saeger@narrozunft.de;07721 991802;78050;Villingen-Schwenningen;DE;Baden-Württemberg;Vereinsfest;kontaktiert 2026-07-03;Fasnet/Sommerfest
2026-07-03;https://www.musikverein-gruenkraut.de/kontakt/impressum/;Musikverein Grünkraut e.V.;Christoph Bogenfels;vorstand@musikverein-gruenkraut.de;0176 80706944;88287;Grünkraut;DE;Baden-Württemberg;Vereinsfest;kontaktiert 2026-07-03;Oberschwaben
2026-07-03;https://mv-balingen.de/impressum;Musikverein Balingen e.V.;Lisa Tillinger;vorstand@mv-online.de;0170 4561103;72336;Balingen;DE;Baden-Württemberg;Vereinsfest;kontaktiert 2026-07-03;Zollernalb
2026-07-03;https://mv-rw-hausen.de/impressum/;Musikverein Rottweil-Hausen e.V.;;info@mv-rw-hausen.de;;78628;Rottweil;DE;Baden-Württemberg;Vereinsfest;kontaktiert 2026-07-03;Rottweil
2026-07-03;https://www.biberacher-schuetzenfest.com/impressum/;Stiftung Schützendirektion Biberach;Rainer Fuchs;info@biberacher-schuetzenfest.com;07351 76300;88400;Biberach an der Riß;DE;Baden-Württemberg;Zelt-Festbetreiber;kontaktiert 2026-07-03;Schützenfest
2026-07-03;https://oberrotweiler.de/pages/impressum;Oberrotweiler Winzerverein eG;;info@oberrotweiler.de;;79235;Vogtsburg-Oberrotweil;DE;Baden-Württemberg;Vereinsfest;kontaktiert 2026-07-03;Kaiserstuhl/Weinfest
2026-07-03;https://skkt.de/kontakt/;Stadt- und Kurkapelle Triberg;;vorstandschaft@skkt.de;;78098;Triberg im Schwarzwald;DE;Baden-Württemberg;Vereinsfest;kontaktiert 2026-07-03;Schwarzwald
2026-07-03;https://www.aichbachtaler-volksfest.de/impressum/;Aichbachtaler Volksfest GbR;;info@aichbachtaler-volksfest.de;;84100;Niederaichbach;DE;Bayern;Zelt-Festbetreiber;kontaktiert 2026-07-03;Volksfest Niederbayern
2026-07-03;https://www.holzar.de/;Trachten- und Heimatverein D'Holzar Fischen e.V.;Mathias Leising;info@holzar.de;;87538;Fischen i. Allgäu;DE;Bayern;Vereinsfest;kontaktiert 2026-07-03;Oberallgäu
2026-07-03;http://www.trachtenverein-burgberg.de/;Gebirgstrachten- und Heimatverein Burgberg e.V.;Max Wegscheider;post@trachtenverein-burgberg.de;;87545;Burgberg i. Allgäu;DE;Bayern;Vereinsfest;kontaktiert 2026-07-03;Oberallgäu
2026-07-03;https://www.harmoniemusik-fuessen.de/;Musikverein Harmonie Füssen e.V.;;info@harmoniemusik-fuessen.de;01517 4362866;87629;Füssen;DE;Bayern;Vereinsfest;kontaktiert 2026-07-03;Ostallgäu
2026-07-03;https://www.stadtkapelle-bw.de/;Musikverein Stadtkapelle Bad Wörishofen e.V.;Markus Seitz;info@stadtkapelle-bw.de;;86825;Bad Wörishofen;DE;Bayern;Vereinsfest;kontaktiert 2026-07-03;Unterallgäu
2026-07-03;https://stadtkapelle-mindelheim.de/;Stadtkapelle Mindelheim e.V.;;info@stadtkapelle-mindelheim.de;0172 8014291;87719;Mindelheim;DE;Bayern;Vereinsfest;kontaktiert 2026-07-03;Unterallgäu
2026-07-03;https://www.blattlschoner.com/impressum/;Schützenverein Blattlschoner Oberbeuren e.V.;Markus Hartmann (1. Schützenmeister);blattlschoner.ev@outlook.de;0151 50726687;87600;Kaufbeuren;DE;Bayern;Vereinsfest;BOUNCE 2026-07-03 / neue Adresse 2026-07-17;"Kaufbeuren | ALT verein@blattlschoner.de UNZUSTELLBAR (Domain blattlschoner.de existiert nicht mehr, NXDOMAIN 17.07. verifiziert). NEU aus Impressum www.blattlschoner.com: blattlschoner.ev@outlook.de, Markus Hartmann, Salzstr. 38, Tel. 08341/40784 (Schützenheim). Kontaktformular vorhanden. Noch NICHT angeschrieben -> OWNER-GATE"
2026-07-03;https://svs-passau.de/impressum;SV Schalding-Heining e.V.;;info@svs-passau.de;0851 9661288;94036;Passau;DE;Bayern;Vereinsfest;kontaktiert 2026-07-03;Sportverein Passau
2026-07-03;https://www.ff-freyung.de/verein/;Feuerwehrverein FFW Freyung;Peter Attenbrunner;info@ff-freyung.de;;94078;Freyung;DE;Bayern;Vereinsfest;kontaktiert 2026-07-03;Feuerwehrverein
2026-07-03;https://festzelte-gschrey.de/;Festzelte Gschrey;;info@festzelte-gschrey.de;09497 902001;92358;Seubersdorf;DE;Bayern;Zelt-Festbetreiber;kontaktiert 2026-07-03;Festzelt Oberpfalz
2026-07-03;https://www.sg1433.de/kontakt.html;Schützengesellschaft von 1433 Neumarkt;Josef Dietmayr;josef-dietmayr@sg1433.de;09181 5105986;92318;Neumarkt i.d.OPf.;DE;Bayern;Vereinsfest;kontaktiert 2026-07-03;Oberpfalz
2026-07-03;https://www.sv1884-eslarn.de/vorstandschaft.cfm;Schützenverein 1884 Eslarn e.V.;Dominik Brenner;brenner.dominik@t-online.de;;92693;Eslarn;DE;Bayern;Vereinsfest;kontaktiert 2026-07-03;Oberpfalz
2026-07-03;http://www.sg-erheiterung.de/;Schützengesellschaft Erheiterung Neunburg vorm Wald e.V.;Michael Baumgärtner;Baumgaertner-neunburg@t-online.de;;92431;Neunburg vorm Wald;DE;Bayern;Vereinsfest;kontaktiert 2026-07-03;Oberpfalz
2026-07-03;http://www.psg-wunsiedel.de/impressum.html;Privilegierte Schützengesellschaft Wunsiedel;Peter Pinzer;peter.pinzer@t-online.de;09232 2807;95632;Wunsiedel;DE;Bayern;Vereinsfest;kontaktiert 2026-07-03;Oberfranken
2026-07-03;https://www.feuerwehrlichtenfels.de/impressum/;Freiwillige Feuerwehr Lichtenfels e.V.;Andreas Hügerich;info@feuerwehrlichtenfels.de;09571 795650;96215;Lichtenfels;DE;Bayern;Vereinsfest;kontaktiert 2026-07-03;Oberfranken
